acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.032,https://api.spotify.com/v1/audio-analysis/2d3QlXE6FXFDeodiS66yjM,0.409,209455,0.594,2d3QlXE6FXFDeodiS66yjM,0.0391,1,0.0904,-9.725,1,0.031,0,110.187,4,https://api.spotify.com/v1/tracks/2d3QlXE6FXFDeodiS66yjM,audio_features,spotify:track:2d3QlXE6FXFDeodiS66yjM,0.212
0.0679,https://api.spotify.com/v1/audio-analysis/6SIR9Zx1I9VaFDPj99z9JW,0.775,238069,0.516,6SIR9Zx1I9VaFDPj99z9JW,0.0,2,0.152,-5.924,1,0.32,0,78.022,4,https://api.spotify.com/v1/tracks/6SIR9Zx1I9VaFDPj99z9JW,audio_features,spotify:track:6SIR9Zx1I9VaFDPj99z9JW,0.419
0.0485,https://api.spotify.com/v1/audio-analysis/7Mpy3FMyXnYc7tCAIPE2fO,0.625,212783,0.642,7Mpy3FMyXnYc7tCAIPE2fO,0.0,10,0.147,-5.611,1,0.0867,0,144.011,4,https://api.spotify.com/v1/tracks/7Mpy3FMyXnYc7tCAIPE2fO,audio_features,spotify:track:7Mpy3FMyXnYc7tCAIPE2fO,0.607
0.367,https://api.spotify.com/v1/audio-analysis/0KkvDyRl1ctlqlFly5tuZY,0.609,181714,0.558,0KkvDyRl1ctlqlFly5tuZY,0.0,7,0.173,-5.919,0,0.0549,0,139.92,4,https://api.spotify.com/v1/tracks/0KkvDyRl1ctlqlFly5tuZY,audio_features,spotify:track:0KkvDyRl1ctlqlFly5tuZY,0.605
0.0364,https://api.spotify.com/v1/audio-analysis/7ghCK0foXp00AcPEIVjxvN,0.906,178346,0.884,7ghCK0foXp00AcPEIVjxvN,2.08e-05,8,0.281,-5.25,1,0.0819,0,114.971,4,https://api.spotify.com/v1/tracks/7ghCK0foXp00AcPEIVjxvN,audio_features,spotify:track:7ghCK0foXp00AcPEIVjxvN,0.574
0.104,https://api.spotify.com/v1/audio-analysis/0gFpKdCAJ1pXmWEsIOJrZQ,0.795,161925,0.819,0gFpKdCAJ1pXmWEsIOJrZQ,0.000186,2,0.128,-4.871,0,0.0803,0,125.977,4,https://api.spotify.com/v1/tracks/0gFpKdCAJ1pXmWEsIOJrZQ,audio_features,spotify:track:0gFpKdCAJ1pXmWEsIOJrZQ,0.425
0.0155,https://api.spotify.com/v1/audio-analysis/19E4UmhhOdwLgfkQJCceme,0.819,238080,0.924,19E4UmhhOdwLgfkQJCceme,0.639,7,0.0427,-6.135,1,0.0874,0,124.995,4,https://api.spotify.com/v1/tracks/19E4UmhhOdwLgfkQJCceme,audio_features,spotify:track:19E4UmhhOdwLgfkQJCceme,0.683
0.787,https://api.spotify.com/v1/audio-analysis/5WGUKZpVV5MLuNPtuk6nlK,0.624,242526,0.763,5WGUKZpVV5MLuNPtuk6nlK,0.0,6,0.0916,-3.707,1,0.0447,0,95.072,4,https://api.spotify.com/v1/tracks/5WGUKZpVV5MLuNPtuk6nlK,audio_features,spotify:track:5WGUKZpVV5MLuNPtuk6nlK,0.521
0.594,https://api.spotify.com/v1/audio-analysis/1KpBtWSI9dlv0RjtzvF1BD,0.841,255608,0.644,1KpBtWSI9dlv0RjtzvF1BD,0.00402,9,0.142,-3.284,0,0.083,0,108.003,4,https://api.spotify.com/v1/tracks/1KpBtWSI9dlv0RjtzvF1BD,audio_features,spotify:track:1KpBtWSI9dlv0RjtzvF1BD,0.881
0.258,https://api.spotify.com/v1/audio-analysis/14V0LsylLq9xgpQmIq9GQd,0.901,165851,0.542,14V0LsylLq9xgpQmIq9GQd,6.92e-06,1,0.0589,-4.733,1,0.076,0,109.955,4,https://api.spotify.com/v1/tracks/14V0LsylLq9xgpQmIq9GQd,audio_features,spotify:track:14V0LsylLq9xgpQmIq9GQd,0.844
