acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0813,https://api.spotify.com/v1/audio-analysis/6KBOvrddbomdb9dkarvwCl,0.797,238379,0.88,6KBOvrddbomdb9dkarvwCl,0.0,1,0.272,-2.534,1,0.04,1,144.925,4,https://api.spotify.com/v1/tracks/6KBOvrddbomdb9dkarvwCl,audio_features,spotify:track:6KBOvrddbomdb9dkarvwCl,0.779
0.00205,https://api.spotify.com/v1/audio-analysis/20Xwgtz25c8XBV46z1GYs4,0.603,185753,0.972,20Xwgtz25c8XBV46z1GYs4,0.687,11,0.124,-5.013,0,0.0415,1,145.997,4,https://api.spotify.com/v1/tracks/20Xwgtz25c8XBV46z1GYs4,audio_features,spotify:track:20Xwgtz25c8XBV46z1GYs4,0.388
0.395,https://api.spotify.com/v1/audio-analysis/18ycL9Q5zLDeY9M2Lr3Ozw,0.3,275307,0.452,18ycL9Q5zLDeY9M2Lr3Ozw,0.000818,11,0.137,-9.298,1,0.0305,1,82.988,4,https://api.spotify.com/v1/tracks/18ycL9Q5zLDeY9M2Lr3Ozw,audio_features,spotify:track:18ycL9Q5zLDeY9M2Lr3Ozw,0.342
0.164,https://api.spotify.com/v1/audio-analysis/48osCmpz6cmeBdmkDQg35z,0.643,234786,0.798,48osCmpz6cmeBdmkDQg35z,0.0,4,0.296,-5.07,0,0.075,1,92.16,4,https://api.spotify.com/v1/tracks/48osCmpz6cmeBdmkDQg35z,audio_features,spotify:track:48osCmpz6cmeBdmkDQg35z,0.459
0.581,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,0.825,233713,0.652,0FE9t6xYkqWXU2ahLh6D8X,0.0,1,0.0931,-3.183,0,0.0802,1,95.977,4,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,audio_features,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,0.931
0.188,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,0.572,249213,0.631,4F7A0DXBrmUAkp32uenhZt,2.31e-05,1,0.259,-8.389,1,0.104,1,77.519,4,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,audio_features,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.219
0.0472,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,0.628,211667,0.698,27SdWb2rFzO6GWiYDBTD9j,0.00143,6,0.0907,-5.608,0,0.105,1,89.976,4,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732
0.103,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,0.803,214480,0.585,4tCtwWceOPWzenK2HAIJSb,3.94e-06,8,0.0644,-5.861,1,0.0432,1,105.017,4,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,audio_features,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.593
0.218,https://api.spotify.com/v1/audio-analysis/4PhsKqMdgMEUSstTDAmMpg,0.569,249040,0.629,4PhsKqMdgMEUSstTDAmMpg,0.0,7,0.135,-9.837,0,0.0485,1,134.035,4,https://api.spotify.com/v1/tracks/4PhsKqMdgMEUSstTDAmMpg,audio_features,spotify:track:4PhsKqMdgMEUSstTDAmMpg,0.0726
0.129,https://api.spotify.com/v1/audio-analysis/4mU5iXHeLgbR94siF7p1sY,0.772,237573,0.504,4mU5iXHeLgbR94siF7p1sY,0.0,6,0.125,-8.219,0,0.0761,1,140.035,4,https://api.spotify.com/v1/tracks/4mU5iXHeLgbR94siF7p1sY,audio_features,spotify:track:4mU5iXHeLgbR94siF7p1sY,0.244
0.159,https://api.spotify.com/v1/audio-analysis/6KI1ZpZWYAJLvmVhCJz65G,0.332,201493,0.635,6KI1ZpZWYAJLvmVhCJz65G,2.79e-06,7,0.0599,-5.653,1,0.0898,1,186.249,3,https://api.spotify.com/v1/tracks/6KI1ZpZWYAJLvmVhCJz65G,audio_features,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,0.261
0.0582,https://api.spotify.com/v1/audio-analysis/1lNVii0jj5Sa1leKSYWMNl,0.612,186240,0.863,1lNVii0jj5Sa1leKSYWMNl,0.0,1,0.0823,-4.258,1,0.0426,1,121.963,4,https://api.spotify.com/v1/tracks/1lNVii0jj5Sa1leKSYWMNl,audio_features,spotify:track:1lNVii0jj5Sa1leKSYWMNl,0.637
0.0541,https://api.spotify.com/v1/audio-analysis/3rmzOry93Q6CQuHKVyBTQm,0.599,202989,0.935,3rmzOry93Q6CQuHKVyBTQm,0.0,10,0.11,-3.736,1,0.0453,1,119.984,4,https://api.spotify.com/v1/tracks/3rmzOry93Q6CQuHKVyBTQm,audio_features,spotify:track:3rmzOry93Q6CQuHKVyBTQm,0.405
0.00105,https://api.spotify.com/v1/audio-analysis/2aPREmASkf4af2mEZanOLR,0.762,428976,0.493,2aPREmASkf4af2mEZanOLR,0.068,0,0.0388,-13.558,1,0.0541,1,126.989,4,https://api.spotify.com/v1/tracks/2aPREmASkf4af2mEZanOLR,audio_features,spotify:track:2aPREmASkf4af2mEZanOLR,0.465
5.22e-05,https://api.spotify.com/v1/audio-analysis/6oF9czeJAFPTIcVrAyupOk,0.767,384480,0.265,6oF9czeJAFPTIcVrAyupOk,0.654,8,0.302,-9.516,1,0.0428,1,124.99,4,https://api.spotify.com/v1/tracks/6oF9czeJAFPTIcVrAyupOk,audio_features,spotify:track:6oF9czeJAFPTIcVrAyupOk,0.0568
